time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760625236.923,0.52657524,-0.00245868,0.21407232,-0.00328006,0.95280186,-0.00580216,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.48464964,-0.1144612,-3.65470532,4.03675528,-0.67974139,4.11343745,6.02071952,0.0,-5.68334367,-0.15299477,4.93986395,-1.19350417,-3.16399157,0.0,0.0,0.05879413,-0.57008897
1760625236.99,0.5266995,-0.01363224,0.23075751,-0.00304419,0.95368069,-0.0059038,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.6511086,-0.11966629,-3.78359561,4.27327395,-0.65196262,4.34817275,6.62146937,0.0,-6.27875494,-0.29671387,5.16321275,-1.15557287,-3.20183252,0.0,0.0,0.06850039,-0.54810785
1760625237.023,0.51586383,-0.04319568,0.24171827,-0.00209962,0.95382859,-0.00756769,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.72574035,-0.01317835,-3.81891357,4.45884913,-0.80083824,4.34084931,6.61487916,0.0,-6.29979951,-0.2263425,5.29430806,-1.0531669,-3.2227707,0.0,0.0,0.10852943,-0.5021211
1760625237.057,0.48942475,-0.03395738,0.26539436,-0.0019704,0.95379147,-0.00762074,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.76328284,-0.00664523,-3.82592793,4.6100537,-0.87727788,4.19137538,6.56093672,0.0,-6.30003201,-0.14817009,5.38175348,-1.03314261,-3.23700748,0.0,0.0,0.12731299,-0.47688343
1760625237.09,0.46244145,-0.03738155,0.24427642,-0.00184942,0.95404999,-0.0069084,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.84300528,-0.0155968,-3.83887286,4.78100408,-0.89727057,4.13375414,6.46438419,0.0,-6.24004363,-0.07563619,5.55105053,-1.0506103,-3.43318111,0.0,0.0,0.11695718,-0.45223841
1760625237.124,0.49864636,-0.04174321,0.30767122,-0.00191978,0.95424669,-0.006359,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.89814507,-0.01383285,-3.90839642,4.85458207,-0.87245065,4.27648553,6.27740348,0.0,-6.03238586,-0.10550496,5.59535713,-1.03197333,-3.66346786,0.0,0.0,0.12283743,-0.45886569
1760625237.157,0.48715549,-0.06382749,0.31959808,-0.0015796,0.95420735,-0.0060312,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.86031978,-0.02407489,-3.88852963,4.84095247,-0.80311611,4.21288412,6.27895409,0.0,-5.99566123,-0.13069177,5.53832449,-1.03747143,-3.62095,0.0,0.0,0.17629276,-0.49431833
1760625237.19,0.4871712,-0.06055318,0.31907751,-0.00149278,0.95433177,-0.00628639,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.862693,-0.01208065,-3.8892016,4.8749975,-0.77365997,4.25913808,6.27043114,0.0,-6.00703716,-0.14120991,5.47936896,-1.00637702,-3.54257488,0.0,0.0,0.19140338,-0.48543567
1760625237.224,0.49882305,-0.07767342,0.31107978,-0.00145993,0.95439654,-0.00659893,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.83314793,0.02375104,-3.82109508,4.84170799,-0.73965124,4.14239872,5.82482568,0.0,-5.56071826,-0.0344772,5.39335723,-0.9789836,-3.44836307,0.0,0.0,0.29486104,-0.44889244
1760625237.257,0.52299339,-0.09572894,0.29235623,-0.00170731,0.95460049,-0.00671416,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.83120838,0.04788884,-3.81666329,4.79844209,-0.71124022,4.17762792,5.79299295,0.0,-5.53569278,-0.0334377,5.35538537,-0.97783887,-3.52239417,0.0,0.0,0.26560307,-0.46996555
