time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760625077.332,-0.08941567,0.00933719,0.03840415,0.00412578,0.93041703,0.01113416,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.12445219,1.49240446,-1.08951416,7.89967965,-12.30451161,-0.65440417,25.44639207,0.69812199,-25.59428162,4.98223786,6.15723321,0.31678303,-1.30643371,0.0,0.39333528,-1.13712464,0.71483359
1760625077.365,-0.07599638,0.01507068,0.05410988,0.00414052,0.93046308,0.01171603,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.97841844,1.40370163,-1.10150128,7.68686897,-12.2118488,-0.59883842,25.35506048,0.86295219,-25.3917222,4.94450794,5.99147263,0.23517231,-1.22629639,0.0,0.17736884,-1.11784701,0.75733751
1760625077.399,-0.064568,0.01791247,0.06750689,0.00404448,0.93086178,0.01190081,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.93030821,1.34507218,-1.11973957,7.61343318,-12.11576041,-0.49102824,24.84513746,0.7875833,-24.84790973,4.9552341,5.96555894,0.19138774,-1.1681838,0.0,0.01326583,-1.12997705,0.75997569
1760625077.432,-0.04832558,0.01840873,0.08783379,-0.0001689,0.93204566,0.01167653,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.04333476,1.2182268,-1.122755,6.48503761,-11.89437871,-0.23544685,22.35136437,0.76270112,-22.31463792,5.31061342,5.01635685,0.1198721,-1.23182935,0.0,0.0,-1.06493347,0.74585748
1760625077.466,-0.04689279,0.0188544,0.09138668,-0.00030662,0.93246282,0.01158724,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-3.96264407,1.20638283,-1.01690689,6.50434544,-11.90082725,-0.27218186,22.34042373,0.6796443,-22.36594362,5.30407235,4.94324686,0.15021499,-1.21822831,0.0,0.0,-1.02645377,0.76461355
1760625077.499,-0.03283096,0.02008335,0.09807072,-0.00017996,0.93268107,0.01173442,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-3.96971693,1.19832563,-0.9803493,6.51210844,-11.8847531,-0.27947227,22.36036036,0.5551347,-22.34831298,5.27411569,4.95188227,0.17170613,-1.19907438,0.0,0.0,-1.01331075,0.79661947
1760625077.532,-0.04746142,0.02260912,0.1043585,0.00047144,0.93288829,0.01195116,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-3.92972471,1.16290777,-0.96826681,6.551197,-11.9074049,-0.22612414,22.36229463,0.42409757,-22.34532255,5.30164146,4.94319886,0.1681839,-1.21734297,0.0,0.0,-1.0137106,0.80980053
1760625077.566,-0.02096166,0.02571049,0.10402135,0.00197297,0.93340346,0.01199218,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.10753085,1.14411568,-1.10178473,6.87360389,-11.88008064,0.00441965,22.47886981,0.14901801,-22.40264495,5.17189449,5.14666431,0.18701872,-1.33983556,0.0,0.0,-1.07065147,0.79647002
1760625077.599,-0.03548419,0.03125679,0.11058994,0.00358138,0.933715,0.01252195,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.24713164,1.11991354,-1.18000833,7.16831749,-11.90674204,-0.01430212,23.86819764,0.0,-23.6894961,4.91851401,5.34258143,0.1989436,-1.39284291,0.0,0.0,-1.08492815,0.82755652
1760625077.633,-0.03121499,0.03597795,0.11164497,0.00434319,0.93362233,0.01224028,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-4.28715254,1.11399844,-1.18699137,7.28708903,-11.92163749,0.05344019,23.98467228,0.06666245,-23.69367693,4.93271558,5.38541362,0.25288126,-1.41551462,0.0,0.0,-1.09206019,0.83513895
