time,pelvis_tilt,pelvis_list,pelvis_rotation,pelvis_tx,pelvis_ty,pelvis_tz,hip_flexion_r,hip_adduction_r,hip_rotation_r,knee_angle_r,knee_angle_r_beta,ankle_angle_r,subtalar_angle_r,mtp_angle_r,hip_flexion_l,hip_adduction_l,hip_rotation_l,knee_angle_l,knee_angle_l_beta,ankle_angle_l,subtalar_angle_l,mtp_angle_l,lumbar_extension,lumbar_bending,lumbar_rotation,arm_flex_r,arm_add_r,arm_rot_r,elbow_flex_r,pro_sup_r,wrist_flex_r,wrist_dev_r,arm_flex_l,arm_add_l,arm_rot_l,elbow_flex_l,pro_sup_l,wrist_flex_l,wrist_dev_l
1760624560.057,0.22102157,-0.10019459,0.21214883,-0.01594716,0.94148556,0.00752196,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.66247119,-1.15557147,-7.03521636,7.07976837,1.31410453,7.22364919,0.52057762,0.0,0.17837252,-0.00105939,6.99017511,-4.36403961,-20.51457839,0.0,14.10493599,-0.97388892,1.24830124
1760624560.124,0.21972712,-0.11015555,0.21845375,-0.01434955,0.9421289,0.00739618,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.40131078,-1.22902807,-6.84021728,6.80570307,1.35812751,6.96558192,0.53430216,0.0,0.14686941,-0.01841604,6.71463668,-4.38488189,-20.44365299,0.0,14.21760277,-0.9671585,1.20403034
1760624560.157,0.22111581,-0.10644031,0.22462701,-0.01435881,0.94207993,0.00768259,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.40430525,-1.22731653,-6.83575786,6.8080162,1.36292226,6.94954893,0.53667421,0.0,0.14488067,-0.0153246,6.70600235,-4.37653279,-20.46182034,0.0,14.2006651,-0.96941616,1.19991042
1760624560.191,0.22585164,-0.10653877,0.22629016,-0.01379665,0.94197312,0.00769734,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.01827678,-1.17478252,-6.67842557,6.41318563,1.26398612,6.85213054,0.54476936,0.0,0.12926508,-0.03840737,6.30022312,-4.2486246,-20.45210504,0.0,14.28259488,-0.95117043,1.17487272
1760624560.224,0.23333356,-0.10611123,0.22588355,-0.01423412,0.94202199,0.00778757,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.02682043,-1.1716018,-6.67048475,6.39245122,1.29150502,6.86419031,0.54658654,0.0,0.12373063,-0.03228456,6.27798024,-4.22200261,-20.46432031,0.0,14.27878078,-0.92690873,1.16484641
1760624560.258,0.23237609,-0.10469368,0.24496258,-0.01383456,0.94188214,0.0075081,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.91602186,-1.13579589,-6.75063468,6.25998761,1.26518414,6.94648004,0.56688529,0.0,0.1454395,-0.04155949,6.15630796,-4.16435993,-20.55135264,0.0,14.28313167,-0.90234513,1.15929447
1760624560.291,0.22612279,-0.10274705,0.25465272,-0.01392628,0.94182724,0.00762885,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.92221053,-1.13665389,-6.72945735,6.24524376,1.2871651,6.95037006,0.57001483,0.0,0.14151346,-0.03566152,6.15753873,-4.1475999,-20.57304896,0.0,14.26480124,-0.90034403,1.168343
1760624560.324,0.21906551,-0.10094622,0.25117693,-0.01360954,0.94175544,0.0077817,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.81026752,-1.16099841,-6.75488308,6.10435922,1.33567505,7.06813567,0.55387872,0.0,0.08097954,-0.0300244,6.06157612,-4.1519867,-20.70224682,0.0,14.25190884,-0.89548863,1.19093798
1760624560.358,0.22141507,-0.10283296,0.25379928,-0.01393757,0.94207944,0.00770672,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.81630491,-1.15701097,-6.74694987,6.06985749,1.33607062,7.08633457,0.56861816,0.0,0.10316814,-0.02946817,6.09245337,-4.15449245,-20.72762416,0.0,14.23785269,-0.85999934,1.20283556
1760624560.391,0.22902315,-0.10527116,0.27236842,-0.01424787,0.94215802,0.00765523,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.79638511,-1.07196744,-6.89433746,6.0395592,1.26116132,7.31147915,0.54961952,0.0,0.0945252,-0.02787786,6.05892926,-4.09210655,-20.85904987,0.0,14.21624542,-0.83851184,1.208178
1760624560.425,0.21861032,-0.0940976,0.28961889,-0.01451867,0.9422015,0.00802408,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.91153908,-1.05638978,-7.06336258,6.17823441,1.25746436,7.45598689,0.5325289,0.0,0.08342114,-0.02862021,6.18879987,-4.09246148,-21.00700961,0.0,14.16891191,-0.81770589,1.20870917
1760624560.458,0.2059212,-0.09293816,0.29890003,-0.0145024,0.94219129,0.00824632,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.66518375,-1.029165,-7.16557517,5.92383056,1.19442798,7.55693299,0.5465118,0.0,0.11300959,-0.05111161,5.93498063,-4.04220719,-21.14991919,0.0,14.17408609,-0.80499336,1.19147078
1760624560.492,0.20254958,-0.09318579,0.31090609,-0.01382907,0.94242579,0.00819111,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.66540563,-1.03636296,-7.15489657,5.93085449,1.19742011,7.56753739,0.54807208,0.0,0.11280283,-0.05571978,5.94025418,-4.0360544,-21.15574945,0.0,14.17130344,-0.80048989,1.19470341
1760624560.525,0.19125246,-0.07944687,0.31431328,-0.01335825,0.94241538,0.00803907,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.67981157,-1.05515497,-7.14926871,5.95212925,1.20836241,7.60135896,0.57887383,0.0,0.13135899,-0.10173902,5.96002296,-4.01887459,-21.17408501,0.0,14.17080707,-0.78396393,1.18735292
1760624560.559,0.197028,-0.07883275,0.32159362,-0.01347268,0.94274031,0.00796413,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-5.84390415,-1.048278,-7.28087969,6.1105386,1.24592941,7.74196677,0.59624957,0.0,0.12740925,-0.1193386,6.12375838,-4.03027386,-21.28558233,0.0,14.18858077,-0.78489134,1.18352947
1760624560.592,0.20840796,-0.07698927,0.32271246,-0.01379521,0.94315483,0.00794259,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.28891546,-1.05957196,-7.62762091,6.54249055,1.35799669,8.09030709,0.62443376,0.0,0.10321298,-0.15573539,6.56700078,-4.11108782,-21.47270013,0.0,14.07633679,-0.78698916,1.19720763
1760624560.626,0.21047424,-0.07332373,0.31627645,-0.01379736,0.94305115,0.00797948,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.28403092,-1.06546757,-7.61195862,6.53049193,1.35845873,8.12362712,0.64987047,0.0,0.1337519,-0.16075097,6.58909244,-4.09608121,-21.47405765,0.0,14.08638085,-0.77948901,1.21605812
1760624560.659,0.20344843,-0.0772716,0.3167454,-0.01383784,0.94319369,0.00771185,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.33413581,-1.04700065,-7.65563343,6.60241741,1.36630281,8.24169539,0.63667682,0.0,0.13835306,-0.20465666,6.66495244,-4.06976606,-21.54033819,0.0,14.07984443,-0.7891255,1.20577218
1760624560.692,0.21408861,-0.08397229,0.31405961,-0.01395212,0.94335561,0.0075252,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.33557981,-1.05463138,-7.67226745,6.6086241,1.37494688,8.22674856,0.63671126,0.0,0.12510377,-0.16201689,6.6620182,-4.06982163,-21.54525324,0.0,14.08431689,-0.79068192,1.19770306
1760624560.726,0.21274026,-0.08113016,0.32647357,-0.01406418,0.94331414,0.00760926,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.34105278,-1.06526183,-7.68748867,6.62056401,1.37014117,8.25163177,0.64033238,0.0,0.13838981,-0.16041475,6.67823474,-4.07417346,-21.52078207,0.0,14.11747149,-0.76483636,1.20934605
1760624560.759,0.21889024,-0.08400491,0.33462558,-0.01448363,0.94337437,0.00767137,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,80.0,-7.0,0.0,80.0,1.3962634,0.0,0.0,0.0,-6.53697933,-1.06623821,-7.82197075,6.81044647,1.40823721,8.40220796,0.63280844,0.0,0.15465554,-0.15031381,6.87044349,-4.10486932,-21.61313268,0.0,14.07021701,-0.7819308,1.20588115
